ART-600,800 Agile Team,Adam Thielen,1,PO
ART-600,800 Agile Team,Kirk Cousins,2,SM
ART-600,800 Agile Team,Anthony Barr,3,DEVELOPER
ART-600,800 Agile Team,Harrison Smith,4,DEVELOPER
ART-600,800 Agile Team,Chad Beebe,5,DEVELOPER
ART-600,800 Agile Team,Dalvin Cook,6,DEVELOPER
ART-600,800 Agile Team,Stefon Diggs,7,DEVELOPER
ART-600,800 Agile Team,Pat Elflein,8,DEVELOPER
ART-601,801 Agile Team,Adam Thielen,1,PO
ART-601,801 Agile Team,Kirk Cousins,2,SM
ART-601,801 Agile Team,Anthony Barr,3,DEVELOPER
ART-601,801 Agile Team,Harrison Smith,4,DEVELOPER
ART-601,801 Agile Team,Chad Beebe,5,DEVELOPER
ART-601,801 Agile Team,Dalvin Cook,6,DEVELOPER
ART-601,801 Agile Team,Stefon Diggs,7,DEVELOPER
ART-601,801 Agile Team,Pat Elflein,8,DEVELOPER
ART-601,802 Agile Team,Adam Thielen,1,PO
ART-601,802 Agile Team,Kirk Cousins,2,SM
ART-601,802 Agile Team,Anthony Barr,3,DEVELOPER
ART-601,802 Agile Team,Harrison Smith,4,DEVELOPER
ART-601,802 Agile Team,Chad Beebe,5,DEVELOPER
ART-601,802 Agile Team,Dalvin Cook,6,DEVELOPER
ART-601,802 Agile Team,Stefon Diggs,7,DEVELOPER
ART-601,802 Agile Team,Pat Elflein,8,DEVELOPER
ART-600,803 Agile Team,Adam Thielen,1,PO
ART-600,803 Agile Team,Kirk Cousins,2,SM
ART-600,803 Agile Team,Anthony Barr,3,DEVELOPER
ART-600,803 Agile Team,Harrison Smith,4,DEVELOPER
ART-600,803 Agile Team,Chad Beebe,5,DEVELOPER
ART-600,803 Agile Team,Dalvin Cook,6,DEVELOPER
ART-600,803 Agile Team,Stefon Diggs,7,DEVELOPER
ART-600,803 Agile Team,Pat Elflein,8,DEVELOPER
ART-601,804 Agile Team,Adam Thielen,1,PO
ART-601,804 Agile Team,Kirk Cousins,2,SM
ART-601,804 Agile Team,Anthony Barr,3,DEVELOPER
ART-601,804 Agile Team,Harrison Smith,4,DEVELOPER
ART-601,804 Agile Team,Chad Beebe,5,DEVELOPER
ART-601,804 Agile Team,Dalvin Cook,6,DEVELOPER
ART-601,804 Agile Team,Stefon Diggs,7,DEVELOPER
ART-601,804 Agile Team,Pat Elflein,8,DEVELOPER
ART-600,806 Agile Team,Adam Thielen,1,PO
ART-600,806 Agile Team,Kirk Cousins,2,SM
ART-600,806 Agile Team,Anthony Barr,3,DEVELOPER
ART-600,806 Agile Team,Harrison Smith,4,DEVELOPER
ART-600,806 Agile Team,Chad Beebe,5,DEVELOPER
ART-600,806 Agile Team,Dalvin Cook,6,DEVELOPER
ART-600,806 Agile Team,Stefon Diggs,7,DEVELOPER
ART-600,806 Agile Team,Pat Elflein,8,DEVELOPER
ART-602,807 Agile Team,Adam Thielen,1,PO
ART-602,807 Agile Team,Kirk Cousins,2,SM
ART-602,807 Agile Team,Anthony Barr,3,DEVELOPER
ART-602,807 Agile Team,Harrison Smith,4,DEVELOPER
ART-602,807 Agile Team,Chad Beebe,5,DEVELOPER
ART-602,807 Agile Team,Dalvin Cook,6,DEVELOPER
ART-602,807 Agile Team,Stefon Diggs,7,DEVELOPER
ART-602,807 Agile Team,Pat Elflein,8,DEVELOPER
ART-602,808 Agile Team,Adam Thielen,1,PO
ART-602,808 Agile Team,Kirk Cousins,2,SM
ART-602,808 Agile Team,Anthony Barr,3,DEVELOPER
ART-602,808 Agile Team,Harrison Smith,4,DEVELOPER
ART-602,808 Agile Team,Chad Beebe,5,DEVELOPER
ART-602,808 Agile Team,Dalvin Cook,6,DEVELOPER
ART-602,808 Agile Team,Stefon Diggs,7,DEVELOPER
ART-602,808 Agile Team,Pat Elflein,8,DEVELOPER
ART-600,809 Agile Team,Adam Thielen,1,PO
ART-600,809 Agile Team,Kirk Cousins,2,SM
ART-600,809 Agile Team,Anthony Barr,3,DEVELOPER
ART-600,809 Agile Team,Harrison Smith,4,DEVELOPER
ART-600,809 Agile Team,Chad Beebe,5,DEVELOPER
ART-600,809 Agile Team,Dalvin Cook,6,DEVELOPER
ART-600,809 Agile Team,Stefon Diggs,7,DEVELOPER
ART-600,809 Agile Team,Pat Elflein,8,DEVELOPER
ART-602,810 Agile Team,Adam Thielen,1,PO
ART-602,810 Agile Team,Kirk Cousins,2,SM
ART-602,810 Agile Team,Anthony Barr,3,DEVELOPER
ART-602,810 Agile Team,Harrison Smith,4,DEVELOPER
ART-602,810 Agile Team,Chad Beebe,5,DEVELOPER
ART-602,810 Agile Team,Dalvin Cook,6,DEVELOPER
ART-602,810 Agile Team,Stefon Diggs,7,DEVELOPER
ART-602,810 Agile Team,Pat Elflein,8,DEVELOPER
ART-500,Agile Team 1000 1,Adam Thielen,1,PO
ART-500,Agile Team 1000 1,Kirk Cousins,2,SM
ART-500,Agile Team 1000 1,Anthony Barr,3,DEVELOPER
ART-500,Agile Team 1000 1,Harrison Smith,4,DEVELOPER
ART-500,Agile Team 1000 1,Chad Beebe,5,DEVELOPER
ART-500,Agile Team 1000 1,Dalvin Cook,6,DEVELOPER
ART-500,Agile Team 1000 1,Stefon Diggs,7,DEVELOPER
ART-500,Agile Team 1000 1,Pat Elflein,8,DEVELOPER
ART-504,Agile Team 1000 10,Adam Thielen,1,PO
ART-504,Agile Team 1000 10,Kirk Cousins,2,SM
ART-504,Agile Team 1000 10,Anthony Barr,3,DEVELOPER
ART-504,Agile Team 1000 10,Harrison Smith,4,DEVELOPER
ART-504,Agile Team 1000 10,Chad Beebe,5,DEVELOPER
ART-504,Agile Team 1000 10,Dalvin Cook,6,DEVELOPER
ART-504,Agile Team 1000 10,Stefon Diggs,7,DEVELOPER
ART-504,Agile Team 1000 10,Pat Elflein,8,DEVELOPER
ART-501,Agile Team 1000 2,Adam Thielen,1,PO
ART-501,Agile Team 1000 2,Kirk Cousins,2,SM
ART-501,Agile Team 1000 2,Anthony Barr,3,DEVELOPER
ART-501,Agile Team 1000 2,Harrison Smith,4,DEVELOPER
ART-501,Agile Team 1000 2,Chad Beebe,5,DEVELOPER
ART-501,Agile Team 1000 2,Dalvin Cook,6,DEVELOPER
ART-501,Agile Team 1000 2,Stefon Diggs,7,DEVELOPER
ART-501,Agile Team 1000 2,Pat Elflein,8,DEVELOPER
ART-502,Agile Team 1000 3,Adam Thielen,1,PO
ART-502,Agile Team 1000 3,Kirk Cousins,2,SM
ART-502,Agile Team 1000 3,Anthony Barr,3,DEVELOPER
ART-502,Agile Team 1000 3,Harrison Smith,4,DEVELOPER
ART-502,Agile Team 1000 3,Chad Beebe,5,DEVELOPER
ART-502,Agile Team 1000 3,Dalvin Cook,6,DEVELOPER
ART-502,Agile Team 1000 3,Stefon Diggs,7,DEVELOPER
ART-502,Agile Team 1000 3,Pat Elflein,8,DEVELOPER
ART-503,Agile Team 1000 4,Adam Thielen,1,PO
ART-503,Agile Team 1000 4,Kirk Cousins,2,SM
ART-503,Agile Team 1000 4,Anthony Barr,3,DEVELOPER
ART-503,Agile Team 1000 4,Harrison Smith,4,DEVELOPER
ART-503,Agile Team 1000 4,Chad Beebe,5,DEVELOPER
ART-503,Agile Team 1000 4,Dalvin Cook,6,DEVELOPER
ART-503,Agile Team 1000 4,Stefon Diggs,7,DEVELOPER
ART-503,Agile Team 1000 4,Pat Elflein,8,DEVELOPER
ART-504,Agile Team 1000 5,Adam Thielen,1,PO
ART-504,Agile Team 1000 5,Kirk Cousins,2,SM
ART-504,Agile Team 1000 5,Anthony Barr,3,DEVELOPER
ART-504,Agile Team 1000 5,Harrison Smith,4,DEVELOPER
ART-504,Agile Team 1000 5,Chad Beebe,5,DEVELOPER
ART-504,Agile Team 1000 5,Dalvin Cook,6,DEVELOPER
ART-504,Agile Team 1000 5,Stefon Diggs,7,DEVELOPER
ART-504,Agile Team 1000 5,Pat Elflein,8,DEVELOPER
ART-500,Agile Team 1000 6,Adam Thielen,1,PO
ART-500,Agile Team 1000 6,Kirk Cousins,2,SM
ART-500,Agile Team 1000 6,Anthony Barr,3,DEVELOPER
ART-500,Agile Team 1000 6,Harrison Smith,4,DEVELOPER
ART-500,Agile Team 1000 6,Chad Beebe,5,DEVELOPER
